date,observatory,xrsa,xrsb,xrsa_corr,xrsb_corr,T_cor,EM_cor,T_phot,EM_phot,EM_cor_norm,EM_phot_norm,month,day,GOES_missing,FAI_alert,FAI_true,delta_min,group_id,duration_from_start
2024-08-21 01:46:00,GOES-18,2.6323463e-07,5.538918e-06,9.468075745644457e-08,1.077026354323607e-06,9.394772871677633,6.398860197948946e+47,8.366237329024614,1.8803366754728037e+48,0.0639886019794894,0.1880336675472803,8,2024-08-21,False,True,True,1.0,3324,7.0
2024-08-21 02:06:00,GOES-18,2.4440027e-07,5.543271e-06,1.1536397437339477e-07,7.674525477341376e-07,12.036705238220366,3.341217544663272e+47,11.0489814739808,8.351399937714364e+47,0.0334121754466327,0.0835139993771436,8,2024-08-21,False,True,True,1.0,3326,2.0
2024-08-21 02:07:00,GOES-18,2.6158617e-07,5.7167426e-06,1.1965296664584457e-07,8.782158147369046e-07,11.511283023373831,4.010767691441231e+47,10.47882282963391,1.0372010186245338e+48,0.0401076769144123,0.1037201018624533,8,2024-08-21,False,True,True,1.0,3326,3.0
2024-08-21 02:08:00,GOES-18,2.6497528e-07,5.7957036e-06,1.090392487412828e-07,8.534534572390839e-07,11.176657119028182,4.0310456514811215e+47,10.12621818144886,1.0647132116860416e+48,0.0403104565148112,0.1064713211686041,8,2024-08-21,False,True,True,1.0,3326,4.0
2024-08-21 02:09:00,GOES-18,2.5624738e-07,5.7888556e-06,7.708021598773487e-08,6.849459168734029e-07,10.537578180991936,3.4766716729773006e+47,9.474187067898509,9.550529568109198e+47,0.034766716729773,0.0955052956810919,8,2024-08-21,False,True,True,1.0,3326,5.0
2024-08-21 02:36:00,GOES-18,1.0188288e-07,3.9369093e-06,4.717582058333392e-08,3.906404799636221e-07,10.889255141139824,1.903348874107816e+47,9.829634874603125,5.1177040264072924e+47,0.0190334887410781,0.0511770402640729,8,2024-08-21,False,True,True,1.0,3328,2.0
2024-08-21 02:37:00,GOES-18,1.2263914e-07,4.089366e-06,6.175864086799265e-08,5.084116310172249e-07,10.91884009877264,2.469018935679968e+47,9.859909348420157,6.6265750454064134e+47,0.0246901893567996,0.0662657504540641,8,2024-08-21,False,True,True,1.0,3328,3.0
2024-08-21 02:38:00,GOES-18,1.4380848e-07,4.259115e-06,7.762886156115202e-08,6.271384336287156e-07,11.01450281749862,3.013755956959911e+47,9.958207491074544,8.040865678391597e+47,0.0301375595695991,0.0804086567839159,8,2024-08-21,False,True,True,1.0,3328,4.0
2024-08-21 02:39:00,GOES-18,1.6240458e-07,4.3976606e-06,8.332305156955044e-08,6.609980118810199e-07,11.107565444339237,3.144862345478932e+47,10.05441783093166,8.342306970497394e+47,0.0314486234547893,0.0834230697049739,8,2024-08-21,False,True,True,1.0,3328,5.0
2024-08-21 02:40:00,GOES-18,1.7532616e-07,4.5090105e-06,8.254053085465787e-08,6.42921804683283e-07,11.201657897906763,3.0287532767723723e+47,10.15227946416749,7.98731324141664e+47,0.0302875327677237,0.0798731324141664,8,2024-08-21,False,True,True,1.0,3328,6.0
