date,observatory,xrsa,xrsb,xrsa_corr,xrsb_corr,T_cor,EM_cor,T_phot,EM_phot,EM_cor_norm,EM_phot_norm,month,day,GOES_missing,FAI_alert,FAI_true,delta_min,group_id,duration_from_start
2022-04-16 19:37:00,GOES-17,8.79124e-08,2.5855165e-06,3.0186438237933544e-08,3.834763901977567e-07,8.978267801142954,2.4047497406647173e+47,7.96820347946007,7.262466989032348e+47,0.0240474974066471,0.0726246698903234,4,2022-04-16,False,True,False,1.0,751,1.0
2022-04-16 19:38:00,GOES-17,9.7891096e-08,2.667309e-06,3.1081789586551174e-08,3.594600457290653e-07,9.3706821969823,2.1140232597664166e+47,8.335829244308664,6.2398400046725416e+47,0.0211402325976641,0.0623984000467254,4,2022-04-16,False,True,True,1.0,751,2.0
2022-04-16 19:39:00,GOES-17,1.08538615e-07,2.7829508e-06,3.554625038759696e-08,3.910677150997799e-07,9.588368717124991,2.2249688307601598e+47,8.54178823662344,6.484778652826643e+47,0.0222496883076016,0.0648477865282664,4,2022-04-16,False,True,True,1.0,751,3.0
2022-04-16 19:42:00,GOES-17,1.06100046e-07,2.9032926e-06,1.8187648720413563e-08,3.177760845574085e-07,7.800906752238343,2.525561311793729e+47,6.883320827658779,8.190096887025782e+47,0.0252556131179372,0.0819009688702578,4,2022-04-16,False,True,False,1.0,753,0.0
2022-04-16 19:43:00,GOES-17,1.2699044e-07,3.114499e-06,2.9099346932071057e-08,4.47189904662082e-07,8.247198291067086,3.2199222469275184e+47,7.29223633554964,1.015781726635842e+48,0.0321992224692751,0.1015781726635842,4,2022-04-16,False,True,False,1.0,753,1.0
2022-04-16 19:44:00,GOES-17,1.3643384e-07,3.2291043e-06,2.7895225684915204e-08,4.461535354494117e-07,8.104617558480006,3.3108970898690547e+47,7.161272457398381,1.0536815603118633e+48,0.0331089708986905,0.1053681560311863,4,2022-04-16,False,True,True,1.0,753,2.0
2022-04-16 19:45:00,GOES-17,1.388991e-07,3.247181e-06,1.8916097133114818e-08,3.349068720126525e-07,7.756784711604667,2.6897575007050613e+47,6.843059955777368,8.746453099938169e+47,0.0268975750070506,0.0874645309993817,4,2022-04-16,False,True,True,1.0,753,3.0
2022-04-16 19:46:00,GOES-17,1.361576e-07,3.2160594e-06,2.6214820536552e-08,3.129318884020904e-07,9.23587658970107,1.8801149505174502e+47,8.209048175265382,5.5931887703969115e+47,0.0188011495051745,0.0559318877039691,4,2022-04-16,False,True,True,1.0,753,4.0
2022-04-16 19:47:00,GOES-17,1.309299e-07,3.1541767e-06,2.4829859057717843e-08,2.5088411348406225e-07,9.97378403625882,1.3512783335968024e+47,8.910449045095424,3.851765308028887e+47,0.013512783335968,0.0385176530802888,4,2022-04-16,False,True,True,1.0,753,5.0
2022-04-16 19:57:00,GOES-17,1.8533846e-07,3.5998062e-06,5.212193343595573e-08,5.280410277919145e-07,9.961560574390436,2.848794375827709e+47,8.898653740739034,8.126146732792648e+47,0.0284879437582771,0.0812614673279264,4,2022-04-16,False,True,False,1.0,755,0.0
2022-04-16 20:16:00,GOES-17,8.181527e-08,2.538303e-06,8.619863933745364e-09,8.445158528047615e-08,10.117409459960458,4.4623131487385104e+46,9.049679983333936,1.2613085703550686e+47,0.0044623131487385,0.0126130857035506,4,2022-04-16,False,True,False,1.0,757,0.0
2022-04-16 20:17:00,GOES-17,8.0726046e-08,2.5351358e-06,4.221412552851689e-09,6.310438038781285e-08,8.348029234160437,4.4508224086310594e+46,7.384960215454649,1.3955228218957162e+47,0.004450822408631,0.0139552282189571,4,2022-04-16,False,True,False,1.0,757,1.0
2022-04-16 20:34:00,GOES-17,7.4470975e-08,2.4309356e-06,6.592628665202937e-09,6.874643077026121e-08,9.829010892113434,3.777551474854628e+46,8.771237384612656,1.0858298505087851e+47,0.0037775514748546,0.0108582985050878,4,2022-04-16,False,True,False,17.0,758,0.0
2022-04-16 20:35:00,GOES-17,7.734873e-08,2.5043812e-06,9.604015360764606e-09,1.583093762747012e-07,7.999212740591242,1.2022667033728078e+47,7.064628324253709,3.851237307205088e+47,0.012022667033728,0.0385123730720508,4,2022-04-16,False,True,False,1.0,758,1.0
2022-04-16 20:36:00,GOES-17,9.055363e-08,2.609827e-06,2.2494013762752733e-08,2.699193828448188e-07,9.213931214417968,1.6274476676145155e+47,8.188462755706787,4.84772129110971e+47,0.0162744766761451,0.048477212911097,4,2022-04-16,False,True,True,1.0,758,2.0
