StartTime,EndTime,Class,Observatory,PeakTime
2001-04-15 21:59:00,2001-04-15 22:22:00,C5.1,GOES,2001-04-15 22:07:00
2001-06-22 23:57:00,2001-06-23 00:06:00,M1.1,GOES,2001-06-23 00:01:00
2001-06-23 00:10:00,2001-06-23 00:20:00,M5.6,GOES,2001-06-23 00:15:00
2001-06-23 02:07:00,2001-06-23 02:15:00,C8.0,GOES,2001-06-23 02:13:00
2001-06-23 04:02:00,2001-06-23 04:11:00,X1.2,GOES,2001-06-23 04:08:00
2001-06-23 05:04:00,2001-06-23 05:11:00,C6.2,GOES,2001-06-23 05:09:00
2001-06-23 06:20:00,2001-06-23 06:34:00,M1.3,GOES,2001-06-23 06:26:00
2001-06-23 08:30:00,2001-06-23 08:36:00,C6.8,GOES,2001-06-23 08:34:00
2001-06-23 12:43:00,2001-06-23 13:06:00,C4.0,GOES,2001-06-23 13:04:00
2001-06-23 14:25:00,2001-06-23 14:46:00,C7.0,GOES,2001-06-23 14:33:00
2001-06-23 17:22:00,2001-06-23 17:38:00,C3.6,GOES,2001-06-23 17:28:00
2001-06-23 19:56:00,2001-06-23 20:05:00,C2.2,GOES,2001-06-23 19:59:00
2001-08-24 23:47:00,2001-08-25 00:44:00,M3.5,GOES,2001-08-25 00:17:00
2001-08-25 02:39:00,2001-08-25 02:44:00,C3.2,GOES,2001-08-25 02:42:00
2001-08-25 03:51:00,2001-08-25 03:58:00,C2.0,GOES,2001-08-25 03:55:00
2001-08-25 05:22:00,2001-08-25 05:30:00,C1.9,GOES,2001-08-25 05:26:00
2001-08-25 07:07:00,2001-08-25 07:13:00,C1.8,GOES,2001-08-25 07:10:00
2001-08-25 07:17:00,2001-08-25 07:42:00,C3.6,GOES,2001-08-25 07:32:00
2001-08-25 08:19:00,2001-08-25 08:26:00,C2.6,GOES,2001-08-25 08:23:00
2001-08-25 08:40:00,2001-08-25 08:48:00,C2.5,GOES,2001-08-25 08:44:00
2001-08-25 09:09:00,2001-08-25 09:32:00,M1.2,GOES,2001-08-25 09:28:00
2001-08-25 09:53:00,2001-08-25 10:00:00,C3.7,GOES,2001-08-25 09:57:00
2001-08-25 10:47:00,2001-08-25 10:51:00,C1.9,GOES,2001-08-25 10:49:00
2001-08-25 11:06:00,2001-08-25 11:10:00,C1.6,GOES,2001-08-25 11:08:00
2001-08-25 12:57:00,2001-08-25 13:07:00,C2.0,GOES,2001-08-25 13:01:00
2001-08-25 13:23:00,2001-08-25 13:29:00,C3.2,GOES,2001-08-25 13:27:00
